Position,Const,Created,Modified,Thumbnail,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt2380307,2023-06-25,2023-06-25,https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_UY142_CR2%2C0%2C96%2C142_AL_.jpg,Coco,https://www.imdb.com/title/tt2380307/,movie,8.4,105,2017,"Animation, Adventure, Drama, Family, Fantasy, Music, Mystery",549090,2017-10-20,"Adrian Molina, Lee Unkrich",,
2,tt0118884,2023-06-28,2023-06-28,https://m.media-amazon.com/images/M/MV5BYWNkYmFiZjUtYmI3Ni00NzIwLTkxZjktN2ZkMjdhMzlkMDc3XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Contact,https://www.imdb.com/title/tt0118884/,movie,7.5,150,1997,"Drama, Mystery, Sci-Fi, Thriller",285171,1997-07-11,Robert Zemeckis,,
3,tt2582802,2023-06-28,2023-06-28,https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Whiplash,https://www.imdb.com/title/tt2582802/,movie,8.5,106,2014,"Drama, Music",924655,2014-01-16,Damien Chazelle,,
4,tt0482571,2023-06-28,2023-06-28,https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,The Prestige,https://www.imdb.com/title/tt0482571/,movie,8.5,130,2006,"Drama, Mystery, Sci-Fi, Thriller",1388066,2006-10-17,Christopher Nolan,,
5,tt1675434,2023-06-28,2023-06-28,https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Intouchables,https://www.imdb.com/title/tt1675434/,movie,8.5,112,2011,"Biography, Comedy, Drama",893281,2011-09-23,"Olivier Nakache, Éric Toledano",,
6,tt0405094,2023-06-28,2023-06-28,https://m.media-amazon.com/images/M/MV5BNmQyNmJjM2ItNTQzYi00ZjMxLWFjMDYtZjUyN2YwZDk5YWQ2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Das Leben der Anderen,https://www.imdb.com/title/tt0405094/,movie,8.4,137,2006,"Drama, Mystery, Thriller",399972,2006-03-15,Florian Henckel von Donnersmarck,,
7,tt0211915,2023-06-28,2023-06-28,https://m.media-amazon.com/images/M/MV5BNDg4NjM1YjMtYmNhZC00MjM0LWFiZmYtNGY1YjA3MzZmODc5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Le fabuleux destin d'Amélie Poulain,https://www.imdb.com/title/tt0211915/,movie,8.3,122,2001,"Comedy, Romance",775703,2001-04-25,Jean-Pierre Jeunet,,
8,tt8503618,2023-06-28,2023-06-28,https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Hamilton,https://www.imdb.com/title/tt8503618/,movie,8.3,160,2020,"Biography, Drama, History, Musical",104806,2020-07-03,Thomas Kail,,
9,tt1832382,2023-06-28,2023-06-28,https://m.media-amazon.com/images/M/MV5BN2JmMjViMjMtZTM5Mi00ZGZkLTk5YzctZDg5MjFjZDE4NjNkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Jodaeiye Nader az Simin,https://www.imdb.com/title/tt1832382/,movie,8.3,123,2011,Drama,251885,2011-02-01,Asghar Farhadi,,
10,tt5074352,2023-06-28,2023-06-28,https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_UY142_CR3%2C0%2C96%2C142_AL_.jpg,Dangal,https://www.imdb.com/title/tt5074352/,movie,8.3,161,2016,"Action, Biography, Drama, Sport",200386,2016-12-21,Nitesh Tiwari,,
11,tt0363163,2023-06-28,2023-06-28,https://m.media-amazon.com/images/M/MV5BMTU0NTU5NTAyMl5BMl5BanBnXkFtZTYwNzYwMDg2._V1_UY142_CR0%2C0%2C96%2C142_AL_.jpg,Downfall,https://www.imdb.com/title/tt0363163/,movie,8.2,156,2004,"Biography, Drama, History, War",365666,2004-09-08,Oliver Hirschbiegel,,
12,tt0816692,2023-06-28,2023-06-28,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Interstellar,https://www.imdb.com/title/tt0816692/,movie,8.7,169,2014,"Adventure, Drama, Sci-Fi",1968544,2014-10-26,Christopher Nolan,10,2023-06-28
13,tt5013056,2023-06-28,2023-06-28,https://m.media-amazon.com/images/M/MV5BN2YyZjQ0NTEtNzU5MS00NGZkLTg0MTEtYzJmMWY3MWRhZjM2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Dunkirk,https://www.imdb.com/title/tt5013056/,movie,7.8,106,2017,"Action, Drama, History, Thriller, War",705234,2017-07-13,Christopher Nolan,,
14,tt13238346,2023-07-14,2023-07-14,https://m.media-amazon.com/images/M/MV5BOTkzYmMxNTItZDAxNC00NGM0LWIyODMtMWYzMzRkMjIyMTE1XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Past Lives,https://www.imdb.com/title/tt13238346/,movie,8.4,105,2023,"Drama, Romance",7607,2023-01-21,Celine Song,,
15,tt15398776,2023-07-17,2023-07-17,https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Oppenheimer,https://www.imdb.com/title/tt15398776/,movie,8.6,180,2023,"Biography, Drama, History",354907,2023-07-11,Christopher Nolan,,
16,tt13287846,2023-07-17,2023-07-17,https://m.media-amazon.com/images/M/MV5BZWIzNDAxMTktMDMzZS00ZjJmLTlhNjYtOGUxYmZlYzVmOGE4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Napoleon,https://www.imdb.com/title/tt13287846/,movie,,158,2023,"Action, Adventure, Biography, Drama, History, War",,2023-11-20,Ridley Scott,,
17,tt0078037,2023-07-17,2023-07-17,https://m.media-amazon.com/images/M/MV5BNDJmYTEyODAtMDgwMS00ZDU4LWEwYTYtOTQxYmQ2NTE5ZGY5XkEyXkFqcGdeQXVyNTEwNzU0NzY@._V1_UY142_CR3%2C0%2C96%2C142_AL_.jpg,Oppenheimer,https://www.imdb.com/title/tt0078037/,tvMiniSeries,8.3,420,1980,"Biography, Drama, History, War",562,1980-10-29,,,
18,tt6723592,2023-08-02,2023-08-02,https://m.media-amazon.com/images/M/MV5BMzU3YWYwNTQtZTdiMC00NjY5LTlmMTMtZDFlYTEyODBjMTk5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Tenet,https://www.imdb.com/title/tt6723592/,movie,7.3,150,2020,"Action, Sci-Fi, Thriller",552754,2020-08-22,Christopher Nolan,,
19,tt0829482,2023-08-18,2023-08-18,https://m.media-amazon.com/images/M/MV5BY2VkMDg4ZTYtN2M3Yy00NWZiLWE2ODEtZjU5MjZkYWNkNGIzXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_UX96_CR0%2C0%2C96%2C142_AL_.jpg,Superbad,https://www.imdb.com/title/tt0829482/,movie,7.6,113,2007,Comedy,608514,2007-08-17,Greg Mottola,,