05-23,7:30 PM,21 Savage
05-28,8:00 PM,Hozier
05-31,8:00 PM,Noah Kahan
06-01,6:45 PM,Hardy
06-08,7:00 PM,Hootie & the Blowfish
06-11,8:00 PM,James Taylor
06-14,7:00 PM,Dierks Bentley
06-20,7:00 PM,Kenny Chesney
06-23,7:00 PM,Santana
06-27,7:00 PM,Tyler Childers
06-28,7:30 PM,Dave Matthews Band
06-29,8:30 PM,Dave Matthews Band
07-05,7:00 PM,KIDZBOP
07-06,6:30 PM,Third Eye Blind
07-10,7:00 PM,Train
07-11,6:00 PM,Halestorm
07-12,7:00 PM,Bret Michaels
07-13,7:30 PM,Niall Horan
07-14,8:00 PM,"Barbie Movie in Concert"
07-19,7:00 PM,Dan + Shay
07-20,7:30 PM,Earth Wind & Fire and Chicago
07-21,6:30 PM,Limp Bizkit
07-25,7:00 PM,Red Hot Chili Peppers
07-26,6:45 PM,Styx
07-27,7:00 PM,Alanis Morissette
08-02,7:30 PM,Phish #1
08-03,7:30 PM,Phish #2
08-04,7:30 PM,Phish #3
08-07,6:30 PM,Cage the Elephant
08-09,6:30 PM,Thirty Seconds to Mars
08-10,7:00 PM,Creed
08-16,6:30 PM,Five Finger Death Punch
08-17,7:00 PM,Doobie Brothers
08-25,7:00 PM,New Kids on the Block
08-26,7:30 PM,Pearl Jam (rescheduled)
08-30,7:00 PM,Sammy Hagar
08-31,6:00 PM,Rob Zombie
09-01,8:00 PM,Pitbull
09-07,7:00 PM,Luke Bryan
09-13,5:30 PM,Staind
09-14,6:30 PM,ZZ Top + Lynyrd Skynyrd
09-15,7:00 PM,Stone Temple Pilots
09-20,6:30 PM,Megadeath
10-04,6:30 PM,Meghan Trainor